,url,date,content,id,username,outlinks,outlinksss,tcooutlinks,tcooutlinksss
33,https://twitter.com/TheEnlightIndia/status/1575056997417787392,2022-09-28 09:37:05+00:00,"Man orders laptop during Flipkart's Big Billion Day Sale, receives soaps inside the box but company refutes to refund.

#Flipkart #BigBillionDays #Soap #Laptop #Enlightindia https://t.co/Zcf6yTZT5S",1575056997417787392,TheEnlightIndia,[],,[],
34,https://twitter.com/Pandit___jii/status/1575043713273073665,2022-09-28 08:44:18+00:00,पहले इस्तेमाल करे फिर विश्वास करे gone Rong 😂😂 #घड़ी_डिटरजंट  @Flipkart @flipkartsupport #bigbilliondays #BIGBILLIONDAYSCAM https://t.co/JaltwKPYIb,1575043713273073665,Pandit___jii,[],,[],
35,https://twitter.com/AkshayS51323447/status/1575041218660077568,2022-09-28 08:34:24+00:00,"@srivastavaanu79 @jagograhakjago @Apple @AppleSupport @Flipkart @flipkartsupport @FlipkartStories @Flipkart  please look into it 
#bigbilliondays  #fake",1575041218660077568,AkshayS51323447,[],,[],
36,https://twitter.com/narulalatesh/status/1575040850450518016,2022-09-28 08:32:56+00:00,"So this Navratri are you buying ETFs or things that you dont want .... ??? 
#bigbilliondays 
#EquityDynamo",1575040850450518016,narulalatesh,[],,[],
37,https://twitter.com/SantKarman/status/1575040735140683776,2022-09-28 08:32:28+00:00,"I havn't got refund of supercoin spent for placing an order.
Your services are deteriorating day by day and now it's worst we are forced to bycott you and choose better service provider like 
@amazonIN 2/2
 
#bigbilliondays2022 #bigbilliondays #BIGBILLIONDAYSCAM #bycottflipkart https://t.co/6vjJbNkKyI",1575040735140683776,SantKarman,[],,[],
38,https://twitter.com/nayakdeba14/status/1575040677913989121,2022-09-28 08:32:15+00:00,"Shame on you if you cannot even contact your seller to process the order @flipkartsupport despite repeated complaints u are just doing us.
Order not shipped even after 5 days #bigbilliondays #flipkartfraud 
Money also stuck and we are bound to flipkart now https://t.co/0kGWfl29ef",1575040677913989121,nayakdeba14,[],,[],
39,https://twitter.com/bpathania0502/status/1575039518599573505,2022-09-28 08:27:38+00:00,"I placed order on @Flipkart #bigbilliondays on 22nd september 2022 &amp; expected delivery date was 23rd september 2022. But till today my order is not delivered…
Really fed up with their service &amp; their customer support team keep lying on every call… https://t.co/hshxS13s6L",1575039518599573505,bpathania0502,[],,[],
40,https://twitter.com/heyPrashant31/status/1575036113387134976,2022-09-28 08:14:06+00:00,"Order id:OD126064076997245000
@binnybansal @Flipkart @flipkartsupport @WorkAtFlipkart @_Kalyan_K @rajneeeshkumar 
#bigbilliondays2022 #bigbilliondays 
#FlipkartAtYourService #flipkartsale. (3/n)",1575036113387134976,heyPrashant31,[],,[],
41,https://twitter.com/abhi_ndpsindore/status/1575033463656226816,2022-09-28 08:03:35+00:00,"Highly disappointed in @Flipkart @flipkartsupport chosing @delhivery @help_delhivery as their shipping partner. My package has been doing rounds in Delhivery's #Indore Manglia-Sirpur-Manishpuri facility. 
#Flipkart #FlipkartBigBillionDays #Delhivery #bigbilliondays",1575033463656226816,abhi_ndpsindore,[],,[],
42,https://twitter.com/the_misfit_way/status/1575030092719218689,2022-09-28 07:50:11+00:00,"Super smooth trim for the win!✨
 
Buy the Misfit T50 trimmer now at just ₹499/- 🛍️
Epic Blockbuster Deals live on @flipkart🛒
 
#MisfitByboAt #NeverFitIn #BigBillionDays https://t.co/OLDB7icchE",1575030092719218689,the_misfit_way,[],,[],
43,https://twitter.com/NavalMe50728474/status/1575029145939357697,2022-09-28 07:46:25+00:00,@Flipkart Worst experience I’ve ever seen in my life. They’re running #bigbilliondays and giving discount while placing orders but at the time of delivery they are delivering empty box. I have ordered a Bluetooth neckband and I received an empty box. @Flipkart @flipkartsupport,1575029145939357697,NavalMe50728474,[],,[],
44,https://twitter.com/NavalMe50728474/status/1575029097163821056,2022-09-28 07:46:14+00:00,@FlipkartHealth @Flipkart Worst experience I’ve ever seen in my life. They’re running #bigbilliondays and giving discount while placing orders but at the time of delivery they are delivering empty box. I have ordered a Bluetooth neckband and I received an empty box. @Flipkart @flipkartsupport,1575029097163821056,NavalMe50728474,[],,[],
45,https://twitter.com/NavalMe50728474/status/1575029035960500225,2022-09-28 07:45:59+00:00,@Flipkart Worst experience I’ve ever seen in my life. They’re running #bigbilliondays and giving discount while placing orders but at the time of delivery they are delivering empty box. I have ordered a Bluetooth neckband and I received an empty box. @Flipkart @flipkartsupport,1575029035960500225,NavalMe50728474,[],,[],
46,https://twitter.com/NavalMe50728474/status/1575023958478290944,2022-09-28 07:25:48+00:00,@FlipkartStories @Flipkart Worst experience I’ve ever seen in my life. They’re running #bigbilliondays and giving discount while placing orders but at the time of delivery they are delivering empty box. I have ordered a Bluetooth neckband and I received an empty box. @Flipkart @flipkartsupport,1575023958478290944,NavalMe50728474,[],,[],
47,https://twitter.com/FreeKaaMaal/status/1575010427763040256,2022-09-28 06:32:02+00:00,Cookware Items Pigeon &amp; More At Up To 65% Off + 4.2% FKM CB !!: #flipkart #freekaamaal #bigbilliondays #redtape #shoes #cashback https://t.co/yk0pWL5sfa #offers #deals #cashback,1575010427763040256,FreeKaaMaal,['https://bit.ly/3UNABdF'],https://bit.ly/3UNABdF,['https://t.co/yk0pWL5sfa'],https://t.co/yk0pWL5sfa
48,https://twitter.com/ikallindia/status/1575006390082539520,2022-09-28 06:16:00+00:00,"On this #Flipkart ""Big Billion Days"". Find the right #smartphone for you. Buy #IkallProducts during the &amp; get an extra #discount on Flipkart 

More Updates @ikallindia

#FlipkartSale #FlipkartSale2022 #FlipkartSaleShopping #bigbilliondays #bigbillionstar #BigBillionDaysAreBack https://t.co/mlJibM2but",1575006390082539520,ikallindia,[],,[],
49,https://twitter.com/eDAOHQ/status/1575005309650599937,2022-09-28 06:11:42+00:00,"Claim this Culture Spark from @0xfiredrops by @flipkart and hold tight to this beautiful piece of art.

#bigbilliondays #treasuredrops #flipkartNFT",1575005309650599937,eDAOHQ,[],,[],
50,https://twitter.com/wedscript/status/1575005279460073472,2022-09-28 06:11:35+00:00,"Just brought Safari seek 45 L
On #bigbilliondays @Flipkart 
Hope for good performance 😉 https://t.co/TV3Hu4p25Q",1575005279460073472,wedscript,[],,[],
51,https://twitter.com/ashish12jnv/status/1574997241324240896,2022-09-28 05:39:39+00:00,"I ordered phone from Flipkart but phone abhi tak Out for delivery tak nahi hua aur bol rahe the ki ye 27 ko delivery kar denge.. @Flipkart please stop Making us fool. Flipkart service is Totally disgusting. 

#bigbilliondays #Flipkart #flipkartscam #BoycottFlipkart https://t.co/AemyzpqQf7",1574997241324240896,ashish12jnv,[],,[],
52,https://twitter.com/theamitbjp/status/1574995048953151488,2022-09-28 05:30:56+00:00,"Scary #bigbilliondays @Flipkart
@flipkartsupport please resolve with empathy. https://t.co/69Ezefb8sO",1574995048953151488,theamitbjp,['https://twitter.com/Sagar08573388/status/1574989664993259520'],https://twitter.com/Sagar08573388/status/1574989664993259520,['https://t.co/69Ezefb8sO'],https://t.co/69Ezefb8sO
53,https://twitter.com/kr_ajay10/status/1574992677485301761,2022-09-28 05:21:30+00:00,"As per the tracking, the order had already reached in the nearest Flipkart facility by 21st September. Still the delivery couldn't happen.
Is it a scam from the seller or Flipkart itself to hold the order by the end of the sale and then cancel it.
#flipkartscam #bigbilliondays",1574992677485301761,kr_ajay10,[],,[],
54,https://twitter.com/MoazzamTweet/status/1574985817147088896,2022-09-28 04:54:15+00:00,"Dear Online Shoppers find your #Parcel  here at #Delhihub
#bigbilliondays2022 #bigbilliondays 
#delhivery #Delivery https://t.co/NqXAbBz8Bb",1574985817147088896,MoazzamTweet,[],,[],
55,https://twitter.com/Yashsharma5992/status/1574979885705019392,2022-09-28 04:30:41+00:00,Hi Flipkart customers it's time to unite and sue @Flipkart for cancelling #iPhone13 orders and giving lame excuses. I'll be sueing them this week @flipkartsupport #iPhone13OnFlipkart #Unity #ecommercewebsite #appleiphone #bigbilliondays #bigbilliondays2022 #unfairtradepractice,1574979885705019392,Yashsharma5992,[],,[],
56,https://twitter.com/realmeTechLife/status/1574979714069962755,2022-09-28 04:30:00+00:00,"This #realMeDiwali, play festive tunes on loop with #realmeBudsAir3, available at @Flipkart’s #BigBillionDays only for ₹2,999* 🎶

#NoiseOffRockOn 

#realmeFestiveDays 

*T&amp;C Apply

Head here: https://t.co/Sl7vqlJm4O https://t.co/9HdF6BYq2u",1574979714069962755,realmeTechLife,['http://bit.ly/3dCTvTG'],http://bit.ly/3dCTvTG,['https://t.co/Sl7vqlJm4O'],https://t.co/Sl7vqlJm4O
57,https://twitter.com/heyPrashant31/status/1574978883912286209,2022-09-28 04:26:42+00:00,"Day 3 of tweet asking help from @flipkartsupport for my seller cancelled Order id:OD126064076997245000
@binnybansal @Flipkart @flipkartsupport @WorkAtFlipkart @_Kalyan_K @rajneeeshkumar 
#bigbilliondays2022 #bigbilliondays 
#FlipkartAtYourService #flipkartsale. Yesterday I (1/2)",1574978883912286209,heyPrashant31,[],,[],
58,https://twitter.com/MrRobinArora/status/1574972896526860289,2022-09-28 04:02:54+00:00,"Scam by #Flipkart in name of #bigbilliondays, you encourage to grab early deals which I did and 3 days later give extra bank discount by #ICICI also same seller gave extra 3000 off.
#flipkartscam #FlipkartBigBillionDays
#scam #ASUSIndia #Modi
@flipkartsupport @Flipkart #amazon https://t.co/9080UgnQLM",1574972896526860289,MrRobinArora,[],,[],
59,https://twitter.com/SambitSarkar/status/1574956120745345024,2022-09-28 02:56:15+00:00,"@mohanumpraneeth @Flipkart @flipkartsupport @_sachinbansal @samaggarwal_ @_Kalyan_K @Flipkart playing new tricks now. Now my order is out for delivery but no delivery person no. shared, even I can not cancel order. My money is stuck with them. Last time with me, they cancelled after 2.5 half months and refunded after 3 months. #bigbilliondays #BigBillionDaySale",1574956120745345024,SambitSarkar,[],,[],
60,https://twitter.com/AmrudLoparkopa/status/1574955536852058112,2022-09-28 02:53:55+00:00,"#Flipkart #flipkartscam #bigbillionscam #bigbilliondays 
Now they have started cancelling other orders than Iphones my Samsung S21 FE ,just got cancelled without any reason ,even after it reached home and was opened in front of me and Delivery boy forcibly took it back @Flipkart https://t.co/WDoQPq0YxU",1574955536852058112,AmrudLoparkopa,[],,[],
61,https://twitter.com/vinaybpatil007/status/1574949445656932352,2022-09-28 02:29:43+00:00,One of the worst online selling flat form i ever  seen #flipkartscam I have ordered the iPhone 13 with exchange with my old phone #minote8pro but I have given the old back to delivery agent but I have raised the complaint also they are playing with me #bigbilliondays,1574949445656932352,vinaybpatil007,[],,[],
62,https://twitter.com/ShatirJ/status/1574931606896226304,2022-09-28 01:18:50+00:00,"@flipkartsupport Unavoidable circumstances as in.... where the package has already reached the nearest possible destination 3 days ago and not yet delivered and now you need 2 MORE DAYS?
WOW!!!!
Stop #cheating and #lying
At least have the courtesy to accept your #mistake
#bigbilliondays",1574931606896226304,ShatirJ,[],,[],
63,https://twitter.com/ShatirJ/status/1574928382915067904,2022-09-28 01:06:01+00:00,"As I mentioned earlier in my tweet, and I had full faith that @Flipkart @flipkartsupport will not respond for sure
The CS Exec slams ur calls whereas the social media team keeps mum
When the issue is resolved after several days they will tweet silently 'resolved'
#bigbilliondays",1574928382915067904,ShatirJ,[],,[],
64,https://twitter.com/sahu_anand_/status/1574859513630707713,2022-09-27 20:32:22+00:00,"@ViCustomerCare @reliancejio @JioCare I had ordered Jio-fi on Flipkart at #bigbilliondays but by looking at @reliancejio speed and their response to tackle the problem, i am forced to cancel the order.

Because Jio has multiple users, so i am switching to @ViCustomerCare

Reliance Jio nhi, Maro BC. 🤬 https://t.co/ttJEAwmIFb",1574859513630707713,sahu_anand_,[],,[],
65,https://twitter.com/KriplaniJayesh/status/1574857041885409280,2022-09-27 20:22:32+00:00,"Struggle + Sacrifice = Success ❤️

Btw posting tweet through my first iPhone 😁❤️

#bigbilliondays2022 #BigBillionDays",1574857041885409280,KriplaniJayesh,[],,[],
